# gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm    pwr  gtemp  mtemp  rxpci  txpci 
# Idx      %      %      %      %      %      %    MHz    MHz     MB     MB     MB      W      C      C   MB/s   MB/s 
    0     30      0      0      0      0      0   8001   1695    234      5      0    100     43      -    127    129 
    0     33      1      0      0      0      0   8001   1695    234      5      0    102     43      -     79     82 
    0     44      1      0      0      0      0   8001   1725    234      5      0    105     44      -    132    145 
    0     41      1      0      0      0      0   8001   1860    234      5      0    138     45      -    138    143 
    0     36      1      0      0      0      0   8001   1860    234      5      0    140     46      -    122     82 
    0     30      1      0      0      0      0   8001   1860    234      5      0    135     46      -    133    142 
    0     33      1      0      0      0      0   8001   1725    234      5      0    121     45      -    129    143 
    0     29      0      0      0      0      0   8001   1695    234      5      0    106     44      -     78      7 
    0     32      1      0      0      0      0   8001   1830    234      5      0    114     46      -    124    143 
    0     31      1      0      0      0      0   8001   1830    234      5      0    128     46      -     80    141 
# gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm    pwr  gtemp  mtemp  rxpci  txpci 
# Idx      %      %      %      %      %      %    MHz    MHz     MB     MB     MB      W      C      C   MB/s   MB/s 
    0     33      1      0      0      0      0   8001   1695    234      5      0    117     45      -    133     72 
    0     35      1      0      0      0      0   8001   1740    234      5      0    110     45      -     73    143 
    0     24      0      0      0      0      0   8001   1860    234      5      0    121     46      -    127     85 
    0      8      0      0      0      0      0   8001   1860    234      5      0    133     47      -    105     83 
    0     24      0      0      0      0      0   8001   1695    234      5      0    111     45      -    100      4 
    0     22      0      0      0      0      0   8001   1695    234      5      0    100     45      -     88     67 
    0     22      0      0      0      0      0   8001   1695    234      5      0     99     45      -     25    137 
    0     30      0      0      0      0      0   8001   1695    234      5      0    101     45      -    122    132 
    0     29      0      0      0      0      0   8001   1695    234      5      0    104     45      -     50    132 
    0     22      0      0      0      0      0   8001   1695    234      5      0    101     45      -     69     71 
    0     22      0      0      0      0      0   8001   1695    234      5      0    100     45      -     85     68 
    0     24      0      0      0      0      0   8001   1695    234      5      0    100     45      -     69     84 
    0     35      1      0      0      0      0   8001   1695    234      5      0    105     46      -    115      9 
    0     28      0      0      0      0      0   8001   1695    234      5      0    102     46      -      0      0 
    0     14      0      0      0      0      0   8001   1695    234      5      0     96     46      -    124      0 
    0     23      0      0      0      0      0   8001   1695    170      5      0    101     45      -     22      0 
    0      0      0      0      0      0      0   8001   1695      2      2      0     90     45      -      0      0 
    0      0      0      0      0      0      0   8001   1695      2      2      0     59     43      -      0      0 
    0      0      0      0      0      0      0    810    570      2      2      0     41     42      -      0      0 
    0      0      0      0      0      0      0    405    225      2      2      0     26     41      -      3      0 
    0      0      0      0      0      0      0    405    210      2      2      0     24     41      -      0      0 
    0      0      0      0      0      0      0    405    210      2      2      0     23     41      -      0      0 
    0      0      0      0      0      0      0    405    210      2      2      0     23     40      -      0      0 
    0      0      0      0      0      0      0    405    210      2      2      0     23     40      -      0      0 
    0      0      0      0      0      0      0    405    210      2      2      0     23     40      -      0      0 
    0      0      0      0      0      0      0    405    210      2      2      0     23     39      -      0      0 
    0      0      0      0      0      0      0    405    210      2      2      0     23     39      -      0      0 
    0      0      0      0      0      0      0    405    210      2      2      0     23     39      -      0      0 
    0      0      0      0      0      0      0    405    210      2      2      0     23     39      -      0      0 
    0      0      0      0      0      0      0    405    210      2      2      0     23     39      -      0      0 
    0      0      0      0      0      0      0    405    210      2      2      0     23     38      -      0      0 
    0      0      0      0      0      0      0    405    210      2      2      0     23     38      -      0      0 
    0      0      0      0      0      0      0    405    210      2      2      0     23     38      -      0      0 
    0      0      0      0      0      0      0    405    210      2      2      0     23     38      -      0      0 
